Iteration,ADC size,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
36,719,0.26516686193645,0,0.0002819840000000129,0.15924987383186817,0,0.00018067199999993733,4.681958118453622,0,0.00018067199999993733
37,719,0.2482919953763485,0,0.0002647679999999708,0.14562485739588737,0,0.00016409600000000246,6.525875069200993,0,0.00016409600000000246
38,719,0.4172918852418661,0,0.0004479359999999266,0.1610829494893551,16,0.0001785600000000498,5.156958010047674,16,0.0001785600000000498
39,719,0.24812505580484867,0,0.00026489600000001445,0.26400014758110046,0,0.00029331200000004554,5.738208070397377,0,0.00029331200000004554
40,719,0.424250029027462,0,0.0004545280000000096,0.25258399546146393,0,0.0002849919999999839,5.3617090452462435,0,0.0002849919999999839
41,719,0.26504090055823326,0,0.00028345600000001525,0.16187503933906555,0,0.00017023999999998818,4.9599159974604845,0,0.00017023999999998818
42,719,0.2936669625341892,0,0.0003137919999999239,0.2579998690634966,0,0.00029023999999999717,6.888333009555936,0,0.00029023999999999717
43,719,0.43329200707376003,0,0.0004634880000000674,0.2584580797702074,0,0.0002896640000000783,8.827416226267815,0,0.0002896640000000783
44,719,0.2847500145435333,0,0.00030579200000002693,0.2622921019792557,0,0.0002935680000000218,6.331291981041431,0,0.0002935680000000218
45,719,0.3587082028388977,0,0.00037369600000003445,0.1692911610007286,0,0.00019091199999998754,5.221833009272814,0,0.00019091199999998754
46,719,0.25466689839959145,0,0.00027187200000000633,0.15879212878644466,0,0.000179200000000046,4.416624782606959,0,0.000179200000000046
