Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
70,1075303.5999999642,1075825.5999999642,522,1075831.2999999523,1080268,4436.700000047684,4958.700000047684
71,1080268,1080784.7999999523,516.7999999523163,1080787.5,1085304.699999988,4517.199999988079,5033.999999940395
72,1085304.699999988,1085834.0999999642,529.3999999761581,1085840.3999999762,1090402.199999988,4561.800000011921,5091.199999988079
73,1090402.199999988,1090938.199999988,536,1090941.8999999762,1095631.699999988,4689.800000011921,5225.800000011921
74,1095631.699999988,1096198,566.3000000119209,1096201.5,1100022.5999999642,3821.099999964237,4387.399999976158
75,1100022.5999999642,1100541.5,518.9000000357628,1100544.5,1104990.5,4446,4964.900000035763
76,1104990.5,1105545.5,555,1105549.5999999642,1110485.8999999762,4936.300000011921,5491.300000011921
77,1110485.8999999762,1110999.5999999642,513.6999999880791,1111004.3999999762,1115181.699999988,4177.300000011921,4691
78,1115181.699999988,1115697.2999999523,515.5999999642372,1115699.3999999762,1120351.5999999642,4652.199999988079,5167.799999952316
79,1120351.5999999642,1120867.2999999523,515.6999999880791,1120868.7999999523,1125818.199999988,4949.400000035763,5465.100000023842
80,1125818.199999988,1126396.5999999642,578.3999999761581,1126397.7999999523,1130696.699999988,4298.900000035763,4877.300000011921
81,1130696.7999999523,1131219,522.2000000476837,1131221.8999999762,1135153,3931.100000023842,4453.300000071526
82,1135153,1135656.2999999523,503.2999999523163,1135658.8999999762,1140497.5,4838.600000023842,5341.899999976158
83,1140497.5,1141011.199999988,513.6999999880791,1141013.699999988,1146031.5,5017.800000011921,5531.5
84,1146031.5,1146674.7999999523,643.2999999523163,1146677.8999999762,1150968.7999999523,4290.899999976158,4934.199999928474
85,1150968.7999999523,1151593.5,624.7000000476837,1151598,1155857.0999999642,4259.099999964237,4883.800000011921
86,1155857.0999999642,1156506.7999999523,649.6999999880791,1156510.5,1160786.199999988,4275.699999988079,4925.399999976158
87,1160786.199999988,1161420.3999999762,634.1999999880791,1161422.5999999642,1165615.0999999642,4192.5,4826.699999988079
88,1165615.0999999642,1166236,620.9000000357628,1166239.2999999523,1170504,4264.700000047684,4885.6000000834465
89,1170504,1171010.699999988,506.69999998807907,1171013.2999999523,1175825.3999999762,4812.100000023842,5318.800000011921
90,1175825.3999999762,1176343.0999999642,517.6999999880791,1176346.0999999642,1180873.699999988,4527.600000023842,5045.300000011921
91,1180873.699999988,1181492.7999999523,619.0999999642372,1181497,1185890.3999999762,4393.399999976158,5012.499999940395
92,1185890.3999999762,1186516.0999999642,625.6999999880791,1186520.699999988,1190683,4162.300000011921,4788
93,1190683,1191242.8999999762,559.8999999761581,1191246.5999999642,1195603.5,4356.900000035763,4916.800000011921
94,1195603.5,1196120.2999999523,516.7999999523163,1196122.5999999642,1200984.5999999642,4862,5378.799999952316
95,1200984.5999999642,1201564.199999988,579.6000000238419,1201569.3999999762,1205843.7999999523,4274.399999976158,4854
96,1205843.7999999523,1206492.199999988,648.4000000357628,1206494.699999988,1210978.5,4483.800000011921,5132.200000047684
97,1210978.5,1211600.3999999762,621.8999999761581,1211604.0999999642,1215994.8999999762,4390.800000011921,5012.699999988079
98,1215994.8999999762,1216613.8999999762,619,1216617.8999999762,1220908.7999999523,4290.899999976158,4909.899999976158
99,1220908.7999999523,1221532.199999988,623.4000000357628,1221536.199999988,1225904,4367.800000011921,4991.200000047684
100,1225904,1226548.7999999523,644.7999999523163,1226552.5999999642,1230649.199999988,4096.600000023842,4741.399999976158
