Iteration,ADC size,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
21,807,0.26916596107184887,0,0.0002846720000002634,0.15670806169509888,0,0.0001717760000001789,5.327542079612613,0,0.0001717760000001789
22,806,0.24887500330805779,0,0.0002662400000001952,0.1541671808809042,0,0.0001733120000002586,5.87674998678267,0,0.0001733120000002586
23,806,0.2503329887986183,16,0.0002623999999995519,0.144624849781394,0,0.0001635840000000499,4.700667224824429,0,0.0001635840000000499
24,807,0.24433317594230175,0,0.0002595840000001459,0.1413749996572733,0,0.00015948799999954133,5.676583154127002,0,0.00015948799999954133
25,807,0.240708002820611,0,0.0002567679999998518,0.14337501488626003,0,0.00016255999999970072,4.988915985450149,0,0.00016255999999970072
26,808,0.2686670050024986,16,0.0002785279999999446,0.13520801439881325,0,0.00015231999999976154,4.5370829757303,0,0.00015231999999976154
27,808,0.2759168855845928,0,0.00029209599999990843,0.1349169760942459,0,0.0001523200000006497,6.015915889292955,0,0.0001523200000006497
28,808,0.27249986305832863,0,0.000288000000000288,0.1337919384241104,0,0.00015155200000016578,4.665416898205876,0,0.00015155200000016578
29,806,0.2699168398976326,0,0.00029209599999990843,0.14533288776874542,0,0.00016435200000053385,5.527958041056991,0,0.00016435200000053385
30,807,0.2617079298943281,0,0.0002677760000002749,0.13212510384619236,0,0.0001495039999994674,6.485916906967759,0,0.0001495039999994674
31,807,0.25949999690055847,0,0.0002795519999994056,0.14700018800795078,0,0.00016588800000061354,5.126458127051592,0,0.00016588800000061354
32,808,0.2662909682840109,0,0.0002821119999998345,0.14883396215736866,0,0.00016844800000015425,5.095917033031583,0,0.00016844800000015425
33,806,0.2511669881641865,0,0.0002672640000005444,0.1482497900724411,0,0.00015359999999997598,5.321958102285862,0,0.00015359999999997598
34,807,0.26766699738800526,0,0.0002800640000000243,0.14429097063839436,0,0.00016281599999956597,5.329333944246173,0,0.00016281599999956597
35,807,0.25116605684161186,0,0.00026419199999949683,0.14616595581173897,0,0.00016537599999999486,4.4476669281721115,0,0.00016537599999999486
36,807,0.2523751463741064,0,0.0002677760000002749,0.1313330139964819,0,0.00014848000000000638,5.121124908328056,0,0.00014848000000000638
37,807,0.2989592030644417,0,0.00030361600000006206,0.15866709873080254,0,0.00017868799999920526,5.517415935173631,0,0.00017868799999920526
38,807,0.28037489391863346,0,0.00029798400000036196,0.14124996960163116,0,0.00015923199999967608,6.063125096261501,0,0.00015923199999967608
39,807,0.25429087691009045,0,0.0002708479999995461,0.13724993914365768,0,0.00015411199999970648,3.9818750228732824,0,0.00015411199999970648
40,807,0.2878329250961542,0,0.00030412799999979256,0.14154193922877312,0,0.00016025600000002527,4.674124997109175,0,0.00016025600000002527
41,807,0.24516694247722626,0,0.0002595840000001459,0.14779088087379932,0,0.00016076799999975577,6.8644999992102385,0,0.00016076799999975577
42,807,0.27358299121260643,0,0.0002851839999999939,0.14337501488626003,0,0.00016076799999975577,5.4731669370085,0,0.00016076799999975577
43,807,0.24495786055922508,0,0.0002611200000002256,0.16708392649888992,0,0.00018841599999941394,4.770041909068823,0,0.00018841599999941394
44,808,0.23633288219571114,0,0.00025036799999966775,0.14070793986320496,0,0.00015872000000083375,4.74029197357595,0,0.00015872000000083375
45,806,0.2531660720705986,0,0.0002708479999995461,0.1371670514345169,0,0.00015513600000005567,4.21199994161725,0,0.00015513600000005567
